dataset,seed,train_frac,budget,budget_value,model_type,trainable_params,total_params,tune_time,train_time,val_mse,test_mse,test_mae,test_r2
mackeyglass,42,0.7,small,1000,lstm,872,872,57.55491089820862,57.473857164382935,0.08799099629648867,0.08926251728695882,0.22884621442760023,0.9106847679030398
mackeyglass,42,0.7,medium,10000,pyreco_standard,300,9450,587.3068490028381,17.23765778541565,0.009488547713611213,0.010793054579585973,0.08637340932872753,0.9892005714816232
mackeyglass,42,0.7,medium,10000,lstm,9772,9772,46.35182476043701,46.20138716697693,0.025575276537999857,0.02603481542813931,0.11936752515918926,0.9739498094694052
mackeyglass,42,0.7,large,30000,pyreco_standard,500,25750,1536.994266986847,44.752907037734985,0.008792229313781812,0.010371029513958884,0.08420482965744676,0.989622845778079
mackeyglass,42,0.7,large,30000,lstm,29449,29449,53.328490018844604,53.05185508728027,0.0455602124029242,0.04741873435330912,0.16049724214530914,0.9525532620719777
mackeyglass,42,0.9,small,1000,pyreco_standard,100,1150,98.98872494697571,2.8468399047851562,0.008235540590631687,0.006631267192927209,0.06645138760383362,0.9932829881807289
mackeyglass,42,0.9,small,1000,lstm,872,872,56.84606981277466,56.7339608669281,0.1233803268710775,0.12311678769809667,0.26622235326656685,0.8752912687637063
mackeyglass,42,0.9,medium,10000,pyreco_standard,300,9450,751.7192640304565,21.935990810394287,0.00895603426131828,0.010313996701686257,0.0850870036115283,0.9895526396790282
mackeyglass,42,0.9,medium,10000,lstm,9772,9772,43.80987906455994,43.70439291000366,0.11681480939981263,0.1107181698272768,0.27416400895143417,0.8878502051416207
mackeyglass,42,0.9,large,30000,pyreco_standard,500,25750,1976.229483127594,57.29721188545227,0.008376220733636468,0.009919550612489211,0.08264884385353533,0.9899521860954398
mackeyglass,42,0.9,large,30000,lstm,29449,29449,40.376925230026245,40.33253192901611,0.07076157879496983,0.0627958761366627,0.18140242207726287,0.9363921510112977
mackeyglass,43,0.5,small,1000,pyreco_standard,100,1150,47.92726397514343,1.4098870754241943,0.009566051490756686,0.008176998058420135,0.07473544661417666,0.9918469088794485
mackeyglass,43,0.5,small,1000,lstm,872,872,20.145963191986084,20.12083387374878,0.09492448051500711,0.098275016492511,0.26173390549735664,0.9020123083541554
mackeyglass,43,0.5,medium,10000,pyreco_standard,300,9450,396.29350185394287,11.360928773880005,0.009261428791140511,0.009167892641935885,0.07845364719295707,0.9908589113560853
mackeyglass,43,0.5,medium,10000,lstm,9772,9772,32.67410492897034,32.663249015808105,0.06954254643207365,0.06890844322493415,0.2199984769010704,0.9312930231150397
mackeyglass,43,0.5,large,30000,pyreco_standard,500,25750,1048.2328598499298,29.86348009109497,0.009239051053238764,0.01095367749922971,0.0853800340839573,0.9890783475649242
mackeyglass,43,0.5,large,30000,lstm,29449,29449,26.765315055847168,26.724535942077637,0.047358694306725214,0.04573361681032146,0.1771662330583769,0.9544000937186259
mackeyglass,43,0.7,small,1000,pyreco_standard,100,1150,69.4475519657135,2.035802125930786,0.008470255602758197,0.006968885540521639,0.06914036335170536,0.9931012727149208
mackeyglass,43,0.7,small,1000,lstm,872,872,23.895025968551636,23.871373176574707,0.05167886088245626,0.04945458405544526,0.1820671807745163,0.9510432928749172
mackeyglass,43,0.7,medium,10000,pyreco_standard,300,9450,565.9138460159302,16.348453283309937,0.008245523740152387,0.008320739873719493,0.0746942476323551,0.9917630279812892
mackeyglass,43,0.7,medium,10000,lstm,9772,9772,33.75027084350586,33.70697379112244,0.056258995231784736,0.05557431701549019,0.16982436284142938,0.9449851694485277
mackeyglass,43,0.7,large,30000,pyreco_standard,500,25750,1486.8090951442719,43.013407945632935,0.00843006261536063,0.010349573081304915,0.08308399487893112,0.9897546197609705
mackeyglass,43,0.7,large,30000,lstm,29449,29449,32.63457727432251,32.58901810646057,0.0872146218564893,0.08460346966441984,0.2434348385158059,0.9162482636294504
mackeyglass,43,0.9,small,1000,pyreco_standard,100,1150,91.78324508666992,2.6969900131225586,0.007672845324315195,0.006303957949989594,0.06510414510775403,0.9938430468221745
mackeyglass,43,0.9,small,1000,lstm,872,872,48.94421410560608,48.91779398918152,0.16992350138965664,0.17976139907293232,0.3435751716239326,0.8244305361722353
mackeyglass,43,0.9,medium,10000,pyreco_standard,300,9450,730.8881969451904,21.33786416053772,0.007756999897402492,0.007959742114301416,0.07192187861651778,0.9922258746181198
mackeyglass,43,0.9,medium,10000,lstm,9772,9772,49.81236004829407,49.77362394332886,0.04648763002351889,0.05036292325614166,0.19479077894332925,0.9508115119348163
mackeyglass,43,0.9,large,30000,pyreco_standard,500,25750,1979.889937877655,57.90631294250488,0.008385626032732173,0.009965900815844695,0.08060588200210658,0.9902664984149981
mackeyglass,43,0.9,large,30000,lstm,29449,29449,31.18997812271118,31.14412498474121,0.08442262443153714,0.08849508664657481,0.226151172957791,0.9135685692587034
mackeyglass,44,0.5,small,1000,pyreco_standard,100,1150,49.158203125,1.3967552185058594,0.007553775389755483,0.008485112118057124,0.07552717387402282,0.9914060650572677
mackeyglass,44,0.5,small,1000,lstm,872,872,43.4108989238739,43.38663196563721,0.05737345321590415,0.05555044923105245,0.17437333057542317,0.9437371079970444
mackeyglass,44,0.5,medium,10000,pyreco_standard,300,9450,404.03971910476685,11.698032855987549,0.008931968677384428,0.01060502704266958,0.084763275660476,0.9892589619085095
mackeyglass,44,0.5,medium,10000,lstm,9772,9772,28.95458674430847,28.94360899925232,0.07373954405091265,0.07470561257671895,0.23356322320745018,0.9243362768330406
mackeyglass,44,0.5,large,30000,pyreco_standard,500,25750,1073.0951960086823,30.575217723846436,0.008292951177794095,0.009419598565484263,0.07852229811904184,0.9904595936821914
mackeyglass,44,0.5,large,30000,lstm,29449,29449,23.71248698234558,23.672898054122925,0.1195020389857749,0.1163899678013705,0.2744645964489189,0.8821173135540469
mackeyglass,44,0.7,small,1000,pyreco_standard,100,1150,70.37913608551025,2.0305962562561035,0.007777427291657786,0.007434595595479804,0.07043497562486552,0.9925277416092123
mackeyglass,44,0.7,small,1000,lstm,872,872,27.39548897743225,27.371421098709106,0.10986826014869827,0.10909172996862808,0.26319443757680316,0.8903556240343125
mackeyglass,44,0.7,medium,10000,pyreco_standard,300,9450,581.2801861763,17.03084421157837,0.009099294981944554,0.009640899041463168,0.0809192402059368,0.9903102612869609
mackeyglass,44,0.7,medium,10000,lstm,9772,9772,39.346904039382935,39.30863690376282,0.08138059562857163,0.07593683456783348,0.19290508286436095,0.9236784782733384
